songinfo,lyrics,year
CRAZY TOWN - BUTTERFLY LYRICS,"Come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, come, come my lady Youre my butterfly, sugar baby  Such a sexy, sexy, pretty little thing, fierce nipple pierce You got me sprung with your tongue ring And I aint gonna lie cause your loving gets me high So to keep you by my side theres nothing that I wont try  Butterflies in her eyes and looks to kill Time is passing, Im asking, could this be real Cause I cant sleep, I cant hold still The only thing I really know is she got sex appeal  I can feel too much is never enough Youre always there to lift me up when these times get rough I was lost, now Im found ever since youve been around Youre the women that I want, so yo, Im putting it down  Come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, youre my pretty baby Ill make your legs shake, you make me go crazy  Come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, youre my pretty baby Ill make your legs shake, you make me go crazy  I dont deserve you Unless its some kind of hidden message To show me life is precious Then I guess its true  But to tell truth I really never knew til I met you I was lost and confused, twisted and used up Knew a better life existed but thought that I missed it My lifestyles wild, I was living like a wild child  Trapped on a short leash, paroled the police files And yo, what s happening now? I see the sun breaking, shining through dark clouds And a vision of you standing out in a crowd  So come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, youre my pretty baby Ill make your legs shake, you make me go crazy  Come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, youre my pretty baby Ill make your legs shake, you make me go crazy  Hey sugar momma, come and dance with me The smartest thing you ever did was take a chance with me Whatever tickles your fancy Girl, its you like Sid and Nancy  So sexy, almost evil Talkin about butterflies in my head I used to think happy endings were only in the books I read But you made me feel alive when I was almost dead  You filled that empty space with the love I used to chase And as far as I can see, it dont get better than this So butterfly, here is a song And its sealed with a kiss and a thank you miss  Come and dance with me, come and dance with me Come and dance with me, so come and dance with me  Come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, youre my pretty baby Ill make your legs shake, you make me go crazy  Come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, youre my pretty baby Ill make your legs shake, you make me go crazy  Come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, youre my pretty baby Ill make your legs shake, you make me go crazy  Come my lady, come, come my lady Youre my butterfly, sugar baby Come my lady, youre my pretty baby Ill make your legs shake, you make me go crazy  Come and dance with me, come and dance with me Come and dance with me, come and dance with me Come and dance with me, come and dance with me Come and dance with me, come and dance with me  Come and dance with me, come and dance with me Come and dance with me, come and dance with me",2001
NELLY FEAT. - RIDE WIT ME LYRICS,"Nelly F/ City Spud Miscellaneous Ride Wit Me Where they at (8X)   [Chorus]  If you wanna go and take a ride wit me  We three-wheelin in the fo with the gold Ds  Oh why do I live this way? (Hey, must be the money!)   If you wanna go and get high wit me  Smoke a L in the back of the Benz-y  Oh why must I feel this way? (Hey, must be the money!)   [Verse 1]  In the club on the late night, feelin right  Lookin tryin to spot somethin real nice  Lookin for a little shorty I noticed so that I can take home  (I can take home)  She can be 18 (18) wit an attitude  or 19 kinda snotty actin real rude  But as long as you a thicky thicky thick girl you know that its on  (Know that its on)  I peep something comin towards me on the dance floor  Sexy and real slow (hey)  Sayin she was peepin and I dig the last video  So when Nelly, can we go; how could I tell her no?  Her measurements were 36-25-34  I like the way you brush your hair  And I like those stylish clothes you wear  I like the way the light hit the ice and glare  And I can see you move from way over there   [Chorus]   [Verse 2]  Face and body front and back, dont know how to act  Without no vouchers on her boots shes bringin nuttin back  You should feel the impact, shop on plastic  when the skys the limit and them haters cant get past that  Watch me as I gas that, fo dot six Range  Watch the candy paint change, everytime I switch lanes  It feel strange now  Makin a livin off my brain, instead of caine now  I got the title from my momma put the whip in my own name now  Damn shit done changed now  Runnin credit checks with no shame now  I feel the fame now (come on), I cant complain now (no more)  Shit Im the mayne now, in and out my own town  Im gettin pages out of New Jersey, from Courtney B.  Tellin me about a party up in NYC  And can I make it? Damn right, I be on the next flight  Payin cash; first class - sittin next to Vanna White   [Chorus 2X]   [Verse 3]  Check, check -- yo, I know somethin you dont know  And I got somethin to tell ya  You wont believe how many people, straight doubted the flow  Most said that I was a failure  But now the same motherfuckers askin me fo dough  And Im yellin, I cant help ya  But Nelly can we get tickets to the next show?  Hell no (whats witchu?!) you for real?!   [City Spud]  Hey yo, now that Im a fly guy, and I fly high  Niggaz wanna know why, why I fly by  But yo its all good, Range Rover all wood  Do me like you should - fuck me good, suck me good  We be them stud niggaz, wishin you was niggaz  Poppin like we drug dealers, sippin Cris-sy, bubb mackin  Honey in the club, me in the Benz  Icy grip, tellin me to leave wit you and your friends  So if shorty wanna... knock, we knockin to this  And if shorty wanna... rock, we rockin to this  And if shorty wanna... pop, we poppin the Crist  Shorty wanna see the ice, then I ice the wrist  City talk, Nelly listen; Nelly talk, city listen  When I fuck fly bitches; when I walk pay attention  See the ice and the glist; niggaz starin or they diss  Honies lookin all they wish - come on boo, gimme kiss   [Chorus 2X]   Hey, must be the money! (4X)   [Chorus]",2001
CHINGY - PULLIN' ME BACK LYRICS,"Every time I try to leave Something keeps pullin me back, me back Tellin me I need you in my life Every time I try to go Something keeps tellin me that, me that Everything gon be all right  Every time I try to leave Something keeps pullin me back, me back Tellin me I need you in my life It was meant to be, you were meant for me So that means we gotta make it work  It was all good at first, spendin money, goin shoppin Eatin at the finest restaurants and if Im club hoppin She was right thurr wit me, bottle poppin, livin that life She just didnt understand my lifestyle and that I aint like  We didnt have a worry in the world, gotcha diamonds, gotcha pearls But I cant help it if Chinga-ling be attractin all the girls Say what? Baby, Ima superstar and that come wit it Gotta good nigga on your side, you betta run wit it  Even though Im on the road doin shows I made time for me and hurr, relationship to grow They tell me dont trust a woman in this industry But she not any woman, more like a sacred friend to me  Cuz when Im outta town, always think of hurr Might conversate wit some chicks but no one come above hurr I thought I was ya man, guess you aint understand And now Im sittin here, lookin crazy like damn  Every time I try to leave Something keeps pullin me back, me back Tellin me I need you in my life Every time I try to go Something keeps tellin me that, me that Everything gon be all right  Every time I try to leave Something keeps pullin me back, me back Tellin me I need you in my life It was meant to be, you were meant for me So that means we gotta make it work  Walk in the house wit hard work, my head hurt Instead of arguin, can I have dinner wit some dessert? Uh uh She talkin bout this phone number she found Aint gimme time to put my bags down, she straight up clownin  Before we end up fightin, let me leave Im exhausted and this here, I dont need Now Im wit the fellaz, ridin and drinkin She blowin my two-way up but I need some time for thinkin  Yeah, I wanna go back, but sumthin sayin naw Lemme give her some space and the next day, I might call What should I do? Look, lemme ask yall Should I stand tall or let this relationship fall?  I aint down wit havin my feelings crushed But it happens sometimes, either love it or give it up I thought I was your man, guess you aint understand And now Im sittin here, lookin crazy like damn  Every time I try to leave Something keeps pullin me back, me back Tellin me I need you in my life Every time I try to go Something keeps tellin me that, me that Everything gon be all right  Every time I try to leave Something keeps pullin me back, me back Tellin me I need you in my life It was meant to be, you were meant for me So that means we gotta make it work  To all the fellaz, know you feel me, you ever had a woman Good times led to bad times and you aint see it comin Tried your best to make her happy but it wasnt enough Cuz Mama told me in relationships, the road get rough  And I aint the one to have my head down, weepin, stressed out As bad as it hurts, I gotta move to the next route, yes I thought I was her man, guess she aint understand And now she sittin thurr, lookin crazy like damn Every time I try to leave Something keeps pullin me back, me back Tellin me I need you in my life Every time I try to go Something keeps tellin me that, me that Everything gon be all right Every time I try to leave Something keeps pullin me back, me back Tellin me I need you in my life It was meant to be, you were meant for me So that means we gotta make it work Said, we gotta make it work, baby",2006
LIL WAYNE - GOT MONEY LYRICS,"I need a Winn-Dixie Grocery bag full of money Right now to the VIP section (wosh, wosh, wosh) You got Young Mula In the house tonight baby Yeah!! Yeah! Young! Young! (wosh) Young! (wosh) Young! (wosh) Young Mula Baby!  If you got money (yeah) And you know it Take it out your pocket and show it then Throw it like (fly) This a way (fly) Thata way (fly) This a way (fly) Thata way If you gettin mugged From everybody who see that Hang over the wall of the VIP Like (fly) This a way (fly) Thata way (fly) This a way (fly)  Thata way  Now I was bouncing through the club She loved the way I did it but I see her boyfriend hatin like a city cop Now I aint never been a chicken but my fitty cocked Say I aint never been a chicken but my semi cocked Now where your bar at? Im tryna rent it out And we so bout it bout it Now what are you about? DJ show me love He say my name when the music stop Young Money Lil Wayne Then the music drop I make it snow I make it flurry Ill make it all back tomorrow dont worry Yeah  Young Wayne on them hoes AKA Mr. Make It Rain On Them Hoes (Young Money)  If you got money (yeah) And you know it Take it out your pocket and show it (then) Then throw it like (fly) This a way (fly) Thata way (fly) This a way (fly) Thata way If you gettin mugged From everybody who see that Hang over the wall of the VIP Like (fly) This a way (fly)  Thata way (fly) This a way (fly) Thata way  It go one for the money Two for the show Now clap your hands if you got a bank roll Like some clap on lights in this bitch Imma be clapping all night In this bitch (uhh hun) Lights off (uhh hun) Man its on (uhh hun) She saw me (uhh hun) She smiling (yeah) He muggin Who cares, cause my goons are right here Like its nothing to a big dog And Im a Great Dane I wear eight chains  I mean so much ice They yell skate Wayne! She wanna fuck Weezy But she wanna rape Wayne (uhh hun)  If you got money (yeah) And you know it then Take it out your pocket and show it then throw it like (fly) This a way (fly) Thata way (fly) This a way (fly)  Thata way If you get mugged From everybody who see that Hang over the wall of the VIP Like.  Okay, Its Young Wayne on them hoes AKA Mr. Make It Rain On Them Hoes Like ehhhh! Everybody say Mr. Rain man Can we have a rainy day? Bring a umbrella Please bring a umbrella Ella, ella, ella ehhh! Bitch aint shit but a hoe in a trick Bet you no one aint trickin if you got it You know we aint fucking if you not thick And I cool your ass down if you think youre hot shit  So Rolex watch this, I do it 4, 5, 6 my click Clack goes the black hoe pimp And just like it I blow that shit Cause bitch Im the bomb like Tick tick Biatch!!  Got money (yeah) And you know it Take it out your pocket and show it then Throw it like (fly) This a way (fly) Thata way (fly) This a way (fly) Thata way If you gettin mugged  From everybody who see that Hang over the wall of the VIP Like (fly) This a way (fly) Thata way (fly) This a way (fly) Thata way  Yeah Its Young Wayne on them hoes AKA Mr. Make It Rain On Them Hoes Yeah Young Wayne on them hoes Make a stripper fall in love T-Pain on them hoes Aha! Young Mula Baby!",2008
CLAY AIKEN - THIS IS THE NIGHT LYRICS,When the world Wasnt upside down I could take all The time I had But Im not gonna wait When a moment can Vanish so fast Cause every kiss Is a kiss you Can never get back  Lift me up In your eyes If you told me this Is what Heaven is Well youd be right Ive been waiting Forever for this This is the night  When the answer To all my dreams Is as close As a touch away Why am I here Holding back What Im trying to say  Lift me up In your eyes If you told me this Is what Heaven is Well youd be right Hold me close To your heart I would go with you To the ends of the earth And well fly Ive been waiting Forever for this This is the night  This is the night Where we capture forever And all our tomorrows begin After tonight We will never Be lonely again  Lift me up In your eyes If you told me this Is what Heaven is Well youd be right Hold me close To your heart I would go with you To the ends of the earth And well fly Ive been waiting Forever for this This is the night,2003
CHRIS BROWN - RUN IT! LYRICS,"Let me talk to you Tell you how it is I was thinking when I saw that body gotta get shawty Tell her what the young boy gonna do Damn them chicks wit you gotta be your kin Babe pretty thick wit the kick thats sick that need to be hit So tell me what yall gonna do  I got friends, and you got friends They hop out, and you hop in I look fly, and they jocking The way you drop, drop makes me wanna pop Is ya man on the floor? If he aint... Let me know Let me see if you can run it, run it girl indeed I can run it, run it Youll see Girl I can set you off Dont believe my age is gonna slow us down I can definitely show you things To have you saying I cant be 16 Once I get in you wont wanna go  (and I...) Ill have yo girls wishing they were you  (and I...)  I know you heard about me, but guess whats going down if we leave Girl you feel right (Feel right)  Make me feel like... (feel like...) I wanna do a little something  (do a little something) Aint no thing let you do it for sure  Girl the way that your wearing them jeans is turning me on Im the hottest thing thats in these streets so baby wont you rock me... Make it drop honey... Make it pop honey...  Whip, whop. Tick, tock to the clock for me dont stop doing that and shawty know I mean what I say so she wont stop doing that Plus I heard if you can dance you can fuck Well dance, time is up, lets go, lets go (yup)  we can get it in... we can gets some friends do it like the ying yang twins and start wait til you see my... wait til you see my... let me fall back  You aint ready for all that have you sleep late real late yeah taking a long nap you tell your friends... to get wit my friends we can be friends switch and meet friends (switch) we can do it all night long, and... til the clock hit morning ya dig oh, oh, oh, ooh",2006
BLAQUE - BRING IT ALL TO ME LYRICS,"There you are looking as fine as can be In your fancy car I can see you looking at me What you wanna do? Are you just gonna sit there and stare? Baby talk to me, tell me whats on your mind, baby oh  Oh baby, bring it all to me But I dont need no fancy cars or diamond rings Oh baby, bring it all to me Gimme your time, your love, your space, your energy  Baby, whats the deal? Would I be too forward if I told you how I feel Thats just the way I do my thang, Im so for real Are you feeling my Timbs, my baggy jeans, my thug appeal Do you like it when a man can keep it real? Oh  Oh baby, bring it all to me But I dont need no fancy cars or diamond rings Oh baby, bring it all to me Gimme your time, your love, your space, your energy  Oh baby  Oh, Ill put my pride to the side Just to tell you how good you make me feel inside Theres not a single question that we cant make this right Cause its you I need every day and night  Oh ho ho baby yeah  Oh baby, bring it all to me But I dont need no fancy cars or diamond rings Oh baby, bring it all to me Gimme your time, your love, your space, your energy  Oh baby, bring it all to me But I dont need no fancy cars or diamond rings Oh baby, bring it all to me Gimme your time, your love, your space, your energy  Oh baby, bring it all to me But I dont need no fancy cars or diamond rings Oh baby, bring it all to me Gimme your time, your love, your space, your energy ...",2000
MILEY CYRUS - PARTY IN THE USA LYRICS,i hopped on the plane in lax with the dream and my card again welcome to the land of fame exsess am i gunna fit in jumped in the cab here i am for the first time looked to my right and i see the hollywood sign this is all so crazy everybody seems so famous my tummys turning and im feeling kinda home sick to much pressure and im nervous thats when the taxi man turned on the radio and the (jzs song was on and the jzs song was on (chorus) so i put my hands up the playin my song the butterflys fly away nodding my head like ya moving my hips like ya so i put my hads up there playing my song you no im gunna be ok yaaaaaayayayay its a party in the usa (end of chorus)took it too the in the taxi cab everybodys lokkin at me now like whose that chick those rockin kicks she gotta be from out of town its so hard with my girls not around me its defanitally not a nashville party cuz all i see is steletos i guess i never got the memo my tummmys turning and im feeling kinda nervous thats wen the dj plays my favorite tune and the britneys song was on and the britneys song was on and the britneys song was on (chorus) i feel like hoppin on aflight bak 2 my home town 2night somthing stops me every time the dj plays my song and i fell alright (chorus times 3),2009
PRETTY RICKY - YOUR BODY LYRICS,"Let me pac-man your body, No, no, no time for playing games! No time! No, no, no time for playing games!  Baby gran on y joy stick Baby, watch how I slow stick With it baby Grab on this joy stick Stick girl So I can pac man your body girl!  I like the way youre tuning me, turning me on, We can make good love, loving all night long! You can be my personal, personal PlayStation Baby, Imma make, make, make you say sega! I got a game you never played before I can be your Gameboy, come and get this play toy! You can play by yourself, you dont need nobody else Im pac-man you; damn I want your body girl!  No, no, no time for playing games! No time! No, no, no time for playing games! Im gonna pac-man your body tonight!  Ughhhhh m put my joy stick in ya x-box! Kissin on your neck, you know the next spot. Im your pac-man, eat you off top Mister game fanatic I got this on lock! I like them wireless, No strings attached And if this game freeze, I wanna rematch! Im a super freak, but you already know These niggas play on rookie, I play on all pro!  Let me pac-man your body Pac pac pac-man your body!  Baby blue whoa We make sound effects Cause my level is hard Make the sex wet like we in the garage Pac-man ya body! Like an Atari ride the stick quick like we in a Ferrari! My hobby collecting Barbies Hitting Nicki Minajies in the Bugattis What, what? Collecting Barbies, hitting Nicki Minajies in the Bugattis! Head game super Mario, terits, switch position on the floor Shawty we can play roles! You can be the villain, I be the guitar hero, I never played your game girl But I got this change, girl So Imma stick my quarter so deep You can feel it in your brain, girl!  No, no, no time for playing games! No time! No, no, no time for playing games! Im gonna pac-man your body tonight!  Baby gran on y joy stick Baby, watch how I slow stick With it baby Grab on this joy stick Stick girl So I can pac man your body girl!  Ohhh pac-man, pac-man your body Turn on your body baby! Paly with your body baby! I play with your body! Pac-man your body, girl! I play your body, babe!",2005
SNOOP DOGG FEAT. PHARRELL - DROP IT LIKE IT'S HOT LYRICS,"Snoop Snoop  When the pimps in the club ma Drop it like its hot Drop it like its hot Drop it like its hot  When the pigs try to get at ya Park it like its hot Park it like its hot Park it like its hot  And if a nigga get a attitude Pop it like its hot Pop it like its hot Pop it like its hot  Ive got the Rolly on my arm And Im pouring Chandon And I roll the best weed Cause I got it going on  Im a nice dude with some nice dreams See these ice cubes, see these Ice Creams? Eligible bachelor, million dollar boat Thats whiter than whats spilling down your throat  The Phantom, exterior like fish eggs The interior like suicide wrist red I can exercise you, this can be your Phys. Ed Cheat on your man ma, thats how you get ahizzead  Killer wit the beat, I know killers in the street Wit the steel thatll make you feel like Chinchilla in the heat So dont try to run up on my ear talking all that raspy shit Trying to ask me shit  When my niggaz fill ya vest they aint gon pass me shit You should think about it, take a second Matter fact, you should take four B And think before you fuck wit lil skateboard P  When the pimps in the crib ma Drop it like its hot Drop it like its hot Drop it like its hot  When the pigs try to get at ya Park it like its hot Park it like its hot Park it like its hot  And if a nigga get a attitude Pop it like its hot Pop it like its hot Pop it like its hot  Ive got the Rolly on my arm And Im pouring Chandon And I roll the best weed Cause I got it going on  Im a gangsta but yall knew that Da Big Bo$$ Dogg, yeah, I had to do that I keep a blue flag hanging out my backside But only on the left side, yeah, thats the Crip side  Aint no other way to play the game the way I play I cut so much you thought I was a DJ Two, one, yep, three S N, double O, P D O, double G  I cant fake it, just break it and when I take it See I specialize in making all the girls get naked So bring your friends, all of yall come inside We got a world premiere right here, now get live  So dont change the dizzle, turn it up a little I got a living room full of fine dime brizzles Waiting on the Pizzle, the Dizzle and the Shizzle Gs to the bizzack, now ladies here we gizzo  When the pimps in the crib ma Drop it like its hot Drop it like its hot Drop it like its hot  When the pigs try to get at ya Park it like its hot Park it like its hot Park it like its hot  And if a nigga get a attitude Pop it like its hot Pop it like its hot Pop it like its hot  Ive got the Rolly on my arm And Im pouring Chandon And I roll the best weed Cause I got it going on  Im a Bad Boy wit a lotta hos Drive my own cars and wear my own clothes I hang out tough, Im a real Bo$$ Big Snoop Dogg, yeah, hes so sharp  On the TV screen and in the magazines If you play me close, youre on a red beam Oh, you got a gun so you wanna pop back? AK47 now nigga, stop that  C mid shoes, now, Im on the move Youre familys crying, now, you on the news They cant find you and now they miss you Must I remind you Im only here to twist you Pistol whip you, dip you then flip you Then dance to this motherfucking music we crip to Subscribe nigga, get yo issue Baby, come close, let me see how you get loose When the pimps in the crib ma Drop it like its hot Drop it like its hot Drop it like its hot When the pigs try to get at ya Park it like its hot Park it like its hot Park it like its hot And if a nigga get a attitude Pop it like its hot Pop it like its hot Pop it like its hot Ive got the Rolly on my arm And Im pouring Chandon And I roll the best weed Cause I got it going on Snoop Snoop",2005
