songinfo,lyrics,year
AIR SUPPLY - THE ONE THAT YOU LOVE LYRICS,"Now the night has gone  Now the night has gone away  Doesnt seem that long  We hardly had two words to say   Hold me in your arms for just another day  I promise this one will go slow, oh  We have the right to know  We have the right to know   Dont say the mornings come  Dont say the mornings come so soon  Must we end this way  When so much here is hard to lose   Love is everywhere, I know it is  Such moments as this are too few, oh  Its all up to you  Its all up to you   Here I am the one that you love  Askin for another day  Understand the one that you love  Loves you in so many ways   Tell me we can stay  Tell me we can stay, oh please  They are the words to say  The only words I can believe   Hold me in your arms for just another day  I promise this one will go slow, oh  We have the right you know  We have the right you know   Here I am the one that you love  Askin for another day  Understand the one that you love  Loves you in so many ways   Here I am the one that you love  Askin for another day  Understand the one that you love  Loves you in so many ways   The night has gone  A part of yesterday  I dont know what to say  I dont know what to say   Here I am, the one that you love  Askin for another day  Understand the one that you love  Loves you in so many ways   Here I am the one that you love  Askin for another day  Understand the one that you love  Loves you in so many ways   Here I am the one that you love  Askin for another day  Understand the one that you love  Loves you in so many ways",1981
EURYTHMICS - HERE COMES THE RAIN AGAIN LYRICS,"Here comes the rain again Falling on my head like a memory Falling on my head like a new emotion  I want to walk in the open wind I want to talk like lovers do I want to dive into your ocean Is it raining with you?  So baby talk to me Like lovers do Walk with me Like lovers do Talk to me Like lovers do  Here comes the rain again Raining in my head like a tragedy Tearing me apart like a new emotion  Oh, I want to breathe in the open wind I want to kiss like lovers do I want to dive into your ocean Is it raining with you?  So baby talk to me Like lovers do Walk with me Like lovers do Talk to me Like lovers do  So baby talk to me Like lovers do  (Here it comes again) Here comes the rain again Falling on my head like a memory Falling on my head like a new emotion (Here is comes again, here it comes again)  I want to walk in the open wind I want to talk like lovers do I want dive into your ocean Is it raining with you?  (Here it comes again) Here comes the rain again Falling on my head like a memory Falling on my head like a new emotion  I want to walk in the open wind I want to talk like lovers do I want dive into your ocean Is it raining with you?  Here comes the rain again Falling on my head like a memory Falling on my head like a new emotion",1984
ICEHOUSE - ELECTRIC BLUE LYRICS,"Icehouse Man of Colours Electric Blue From the Album: Man of Colours  IceHouse, 1987   Electric Blue  -------------  If a boy had a chance  a chance with someone like you  are you gonna break his heart?  let him cry for the moon?  are you hiding somewhere behind those eyes?   I just freeze  everytime you see through me  and its all over you  electric blue  on my knees  help me, baby  tell me, what can I do?  electric blue   Oh, I had a dream  for a moment I believed it was true  oh, Id have given anything  just to be there with you  are you hiding  somewhere behind those eyes?   I just freeze  everytime you see through me  and its all over you  electric blue  in too deep  standing here waiting  as Im breaking into  electric blue  I can see   can see that it may be just a vision for you  electric blue  on my knees  help me, baby  tell me what can I do?  electric blue",1988
CURE - LOVESONG LYRICS,Cure Disintegration Lovesong whenever Im alone with you you make me feel  like i am home again whenever im alone with  you you make me feel like i am whole again   whenever im alone with you you make me feel  like i am young again whenever im alone with  you you make me feel like i am fun again   however far away i will always love you however  long i stay i will always love you whatever  words i say i will always love you i will always  love you   whenever im alone with you you make me feel  like i am free again whenever im alone with  you you make me feel like i am clean again   however far away i will always love you however  long i stay i will always love you whatever  words i say i will always love you i will always  love you,1989
THE MANHATTANS - SHINING STAR LYRICS,"Ooh yeah  Honey you are my shining star Dont you go away, oh baby Wanna be right here where you are Till my dying day, yeah baby  So many have tried tried to find A love like yours and mine Girl dont you realize how you hypnotize Make me love you each time, yeah baby  Honey I know I leave you lonely Give my love to you only To you only, to you only  Honey you are my shining star Dont you go away, no baby Wanna be right here where you are Till my dying day, yeah baby  Feel so good when were lying here Next to each other lost in love, yeah baby Baby when we touch, I love you so much Youre all I have with me now, yeah baby  Honey I know I leave you lonely Give my love to you only To you only, to you only  Honey you are my shining star Dont you go away girl, no baby Wanna be right here where you are Till my dying day  Honey you are my shining star You are my shining star Dont you go away, ooh baby Honey you are my shining star Dont you go away, ooh baby  Honey, right here where you are Till my dying day, ah yeah Honey you are my shining star My shining star  Honey you, you are my star Dont you go away, yeah baby Honey you are my shining star Dont you go away, ooh baby Honey you, you you you",1980
PRINCE - U GOT THE LOOK LYRICS,"Here we are folks The dream we all dream off Boy versus girl in the world series of love Tell me, have you got the look?  You walked in, I woke up I never seen a pretty girl Look so tough, baby You got that look  Color you peach and black Color me takin a back Crucial, I think I want you  Youve got the look, youve got the hook You shonuf do be cookin in my book Your face is jammin, your bodys heck-a-slammin If love is good lets get to rammin  U got the look U got the look  Look here, you got the look, you must a took A whole hour just to make up your face, baby Closin time, ugly lights, everybodys inspected But you are a natural beauty unaffected Did I say an hour? My face is red, I stand corrected  Youve got the look, youve got the hook You shonuf do be cookin in my book Your face is jammin, your bodys heck-a-slammin If love is good lets get to rammin  U got the look U got the look  Well here we are, ladies and gentlemen the dream we all dream of Boy versus girl in the world series of love slammin  You walked in, I woke up I never seen such a pretty girl look so tough  Baby, you got that look, yes you do Color you peach and black Color me takin aback, baby Crucial, I think I want you  Youve got the look, youve got the hook You shonuf do be cookin in my book Your face is jammin, your bodys heck-a-slammin If your love is good lets get to rammin now  U got the look U got the look  Here we are folks The dream we all dream of  U got the look U got the look U got the look U got the look U got the look",1987
KENNY ROGERS - I DON'T NEED YOU LYRICS,"I dont need you I dont need friendship And I dont need flowers in the spring And I dont need you And you surely dont need me  I dont need, love and affection And I dont need, peace and harmony And I dont need you And you surely dont need me  But we both want it bad enough Yes, we both want it, dont we?  I dont need you, baby And I know, you dont need me  I dont need your loving arms around me All I need is to be free Thats what I keep telling myself And I tell you, you dont need me  I dont need children in my old age No more cluttered leaves around the trees  And I dont need you, baby And I know, you dont need me  But we both want it bad enough Yes, we both want it, dont we?  And I dont need you, baby And I know, you dont need me  We dont need each other baby We dont need each other baby Or do we?",1981
STEVE FORBERT - ROMEO'S TUNE LYRICS,"Meet me in the middle of the day Let me hear you say, Everythings okay Bring me southern kisses from your room Meet me in the middle of the night Let me hear you say, Everythings alright  Let me smell the moon in your perfume Oh, Gods and years will rise and fall And theres always something more Lost in talk, I waste my time And its all been said before While further down behind the masquerade The tears are there I dont ask for all that much I just want someone to care Answer right now Meet me in the middle of the day Let me hear you say, Everythings okay Come on out beneath the shining sun Meet me in the middle of the night Let me hear you say, Everythings alright Sneak on out beneath the stars and run, yeah Oh, yeah, yes Oh, yes Its king and queen and we must go down round Behind the chandelier Where I wont have to speak my mind And you wont have to hear Shreds of news and after thoughts And complicated scenes Well weather down behind the light And fade like magazines Meet me in the middle of the day Let me hear you say, Everythings okay Bring me southern kisses from your room Hey, hey Meet me in the middle of the night Let me hear you say, Everythings alright Let me smell the moon in your perfume Oh, now Meet me in the middle of the day Let me hear you say, Everythings okay Let me see you smiling back at me Hey Meet me in the middle of the night Let me hear you say, Everythings alright Hold me tight and lovin love is free Whoa oh Okay",1980
BENNY MARDONES - INTO THE NIGHT LYRICS,"Shes just sixteen years old Leave her alone, they say Separated by fools Who dont know what love is yet But I want you to know  If I could fly, Id pick you up Id take you into the night And show you a love Like youve never seen, ever seen  Its like having a dream Where nobody has a heart Its like having it all And watching it fall apart  And I would wait till the end of time for you And do it again, its true I cant measure my love Theres nothing to compare it to But I want you to know  If I could fly, Id pick you up Id take you into the night And show you a love Ooh, if I could fly  Id pick you up Id take you into the night And show you a love Like youve never seen, ever seen Yeah, ooh",1980
THE POLICE - DON'T STAND SO CLOSE TO ME LYRICS,"Young teacher, the subject Of schoolgirl fantasy She wants him so badly Knows what she wants to be Inside him, theres longing This girls an open page Book marking, shes so close now This girl is half his age  Dont stand, dont stand so Dont stand so close to me Dont stand, dont stand so Dont stand so close to me  Her friends are so jealous You know how bad girls get Sometimes its not so easy To be the teachers pet Temptation, frustration So bad it makes him cry Wet bus stop, shes waiting His car is warm and dry  Dont stand, dont stand so Dont stand so close to me Dont stand, dont stand so Dont stand so close to me  Loose talk in the classroom To hurt they try and try Strong words in the staff room The accusations fly Its no use, he sees her He starts to shake and cough Just like the old man in That book by Nabokov  Dont stand, dont stand so Dont stand so close to me Dont stand, dont stand so Dont stand so close to me  Dont stand, dont stand so  (Please dont stand so close to me) Dont stand so close to me Dont stand, dont stand so  (Please dont stand so close to me) Dont stand so close to me Dont stand, dont stand so  (Please dont stand so close to me) Dont stand so close to me Dont stand, dont stand so  (Please dont stand so close to me) Dont stand so close to me Dont stand, dont stand so  (Please dont stand so close to me) Dont stand so close to me Dont stand, dont stand so  (Please dont stand so close to me) Dont stand so close to me",1981
