songinfo,lyrics,year
JANET JACKSON - CONTROL LYRICS,"This is a story about control, my control  Control of what I say, control of what I do  And this time Im gonna do it my way  I hope you enjoy this as much as I do   Are we ready? I am  Cause its all about control  And Ive got lots of it   When I was seventeen  I did what people told me  Did what my father said  And let my mother mold me  But that was a long ago, Im in   Control  (Never gonna stop)  Control  (To get what I want)   Control  (I like to have a lot)  Control  (Now Im all grown up)   First time I fell in love  I didnt know what hit me  So young and so naive  I thought it would be easy  Now I know Ive got to take   Control  (Now Ive got a lot)  Control  (To get what I want)   Control  (Im never gonna stop)  Control  (Now Im all grown up)   Jam, ooh, ooh  Rebel, thats right  Im on my own, Ill call my own shots  Thank you   Got my own mind  I wanna make my own decisions  When it has to do with my life, my life  I wanna be the one in control   So let me take you by the hand  And lead you [Incomprehensible] this dance  (Control)  Its what I got  Because I took a chance   I dont wanna rule the world  Just wanna run my life, ooh  So make your life a little easier  When you get the chance, just take   Control, ooh, ooh  (Now Ive got a lot, ooh)  Control  (To get what I want, ow)   Control  (Im never gonna stop)  Control  (Now Im all grown up, ooh)   Free at last  Out here on my own  Ooh, ooh, ooh yeah  Now control this, uh   Control  (Thats right)  Control  (Career moves)   Control  (I do whats right for me)  Control  (And me wants to groove, is that okay?)  Yeah, ooh, control   Ive got my own mind, ooh, baby  Yeah, yeah, yeah, yeah  Ive got my own mind  Wanna make my own decisions   When it has to do with my life  I wanna be the one in control  Hop to it, Im in control  And I love it, ha, ha, ha, thats right   Control  (Now Ive got a lot)  Control  (Now Im all grown up, ah)   Im in control, uh  Im in control, ah  Im in control, uh  Dont make me lose it  Control",1987
STARPOINT - OBJECT OF MY DESIRE LYRICS,"You glanced away, i lost all control Anxiety had taken hold My body quivers, hot flashes ignited in me, ooh, ooh, ooh Gazing deep into my eyes You spoke these words, i was hypnotized Let me share a night in your fantasy, ooh, ooh  Turn on emotions so strong Passions fire burns on and on My body screams, please make love to me,  Chorus: Cause youre the object of my desire Baby ignite my fire Object of my desire Hey you really turn me on  Youre the object of my desire Baby ignite my fire Object of my desire Hey you really turn me on  Youre the object of my desire Baby ignite my fire Object of my desire Hey you really turn me on  Youre the object of my desire Wont you ignite my fire Object of my desire Hey you really turn me on  Youre the object of my desire Wont you ignite my fire Object of my desire Hey you really turn me on  When i go to sleep at night Visions of you here by my side Fireworks explode deep inside of me oh-i-yi-yi-yi I pinch myself as im lyin there We kiss each other now im really scared Too much to ask even for a fantasy oh, oh, oh  Turn on emotions so strong Passions fire burns on and on My body screams, please make love to me  Chorus: Cause youre the object of my desire Baby ignite my fire Object of my desire Hey you really turn me on  Youre the object of my desire Baby ignite my fire Object of my desire Hey you really turn me on  Youre the object of my desire Wont you ignite my fire Object of my desire Hey you really turn me On and on and on and on On and on and on and on On and on and on and on On and on and on and on Yeah, yeah",1986
SHEILA E. - A LOVE BIZARRE LYRICS,"The moon up above, it shines on upon our skin Whispering words that scream of outrageous sin We all want the stuff thats found in our wildest dreams It gets kinda rough in the back of our limousine  Thats what we are, we all want a love bizarre Thats what we are, we all want a love bizarre  A strawberry mind, a body thats built for two A kiss on the spine, we do things we never do Swallow the pride and joy of the ivory tower  Well dance on the roof, make love on a bed of flower Thats what we are, we all want a love bizarre  The moon up above, it shines on upon our skin Whispering words that scream of outrageous sin We all want the stuff thats found in our wildest dreams It gets kinda rough in the back of our limousine  Thats what we are, we all want a love bizarre Thats what we are, we all want a love bizarre",1986
DEBBIE GIBSON - OUT OF THE BLUE LYRICS,"Without you, without you  I always thought that everything was fine  Without you, never knowing youd be mine  Suddenly my world has changed  And I just wonder why  All it took was just one smile   Now with you, out of the blue  Love appeared before my eyes with you  A dream come true  I never thought Id realize what love was  What love was, what love was   I need you, oh, I need you  And everyday I love you more and more  Without you I know what its all for  Suddenly I see you there and everythings okay  Dont know why I feel this way   Now with you, out of the blue  Love appeared before my eyes with you  A dream come true  I never thought Id realize what love was  What love was, what love was, here with you   We are together now  Never take my heart away  All the love I found  Is here to stay   Its like a dream come true  I never thought Id fall in love with you  Out of the blue  Love appeared before my eyes with you   A dream come true, I never thought  Here with you, out of the, out of the  Out of the, out of the clear blue  Oh, its like a dream come true  I never thought, I never thought   Out of the blue  Before my eyes with you  A dream come true  I never thought Id fall in love with you  Out of the, out of the  Out of the, out of the clear blue",1988
BRUCE SPRINGSTEEN - BRILLIANT DISGUISE LYRICS,I hold you in my arms as the band plays  What are those words whispered baby just as you turn away  I saw you last night out on the edge of town  I wanna read your mind and know just what ive got in this new thing ive found  So tell me what i see when i look in your eyes  Is that you baby or just a brilliant disguise   I heard somebody call your name from underneath our willow  I saw something tucked in shame underneath your pillow  Well ive tried so hard baby but i just cant see  What a woman like you is doing with me  So tell me what i see when i look in your eyes  Is that you baby or just a brilliant disguise   Now look at me baby struggling to do everything right  And then it all falls apart when out go the lights  Im just a lonely pilgrim i walk this world in wealth  I want to know if its you i dont trust cause i damn sure dont trust  Myself   Now you play the loving woman ill play the faithful man  But just dont look too close into the palm of my hand  We stood at the alter the gypsy swore our future was right  But come the wee wee hours maybe baby the gypsy lied  So when you look at me you better look hard and look twice  Is that me baby or just a brilliant disguise   Tonight our bed is cold  Im lost in the darkness of our love  God have mercy on the man  Who doubts what hes sure of,1987
TOM PETTY AND THE HEARTBREAKERS - DON'T DO ME LIKE THAT LYRICS,"I was talking with a friend of mine Said a woman had hurt his pride Told him that she loved him so Turned around let him go Then he said, You better watch your step Or youre gonna get hurt yourself Someones gonna tell you lies Cut you down to size  Dont do me like that Dont do me like that What if I love you baby? Dont do me like that Dont do me like that Dont do me like that Someday I might need you, baby Dont do me like that  Listen honey, can you see? Baby, you would bury me If you were in the public eye Givin someone else a try And you know you better watch your step Or youre gonna get hurt yourself Someones gonna tell you lies Cut you down to size  Dont do me like that Dont do me like that What if I love you baby? Dont, dont, dont, dont Dont do me like that Dont do me like that What if I need you baby? Dont do me like that  Cause somewhere deep down inside Someone is saying, love doesnt last that long I got this feelin inside night and day and And now I cant take it no more  Listen honey, can you see? Baby, you would bury me If you were in the public eye Givin someone else a try And you know you better watch your step Or youre gonna get hurt yourself Someones gonna tell you lies Cut you down to size  Dont do me like that Dont do me like that What if I love you baby? Dont, dont, dont, dont Dont do me like that Dont do me like that I just might need you, honey Dont do me like that  Woh Dont do me like that Dont do me like that Baby, baby, baby Dont, dont, dont, dont Dont do me like that Dont do me like that Baby, baby, baby Ohh ohh ohh",1980
SHALAMAR - SECOND TIME AROUND LYRICS,"I know you come a long way, baby But you dont need that heart of stone, no You proved that you could do it, do it, baby You can make it on your own  But you cant keep runnin away from love Cause the first one let you down, no, no, no And though others try to satisfy you, baby With me true love can still be found, love can still be found  The second time around Ooh, the second time is so much better, baby The second time around And Ill make it better than the first time  You know I really love you And I paid for my mistakes, yes I did, girl The more I try to hide my feelings, baby This old heart gets in the way and love wont let me wait  The second time around Girl, with me its better than the first time The second time around Lets do it one more time, say it again  The second time around All that Ive been through, Ill do it again just as long as Im with you The second time around The second time  Ill make it so good to you, babe Ill make it so good to you  Not like the first time Not like the first time Not like the first time Talking bout the second time  Not like the first time Not like the first time Not like the first time Talking bout the second time  You cant keep runnin away from love Cause the first one let you down And though others try to satisfy you, baby With me true love can still be found  The second time around Im gonna keep you mine the second time, baby The second time around Ill know what to do just as long as Im with you  The second time around Do it one more time, say it again The second time around",1980
WHITNEY HOUSTON - YOU GIVE GOOD LOVE LYRICS,"(Haa)  (Haa)  I found out what Ive been missin  Always on the run  Ive been lookin for someone   Now youre here like youve been before  And you know just what I need  It took some time for me to see   That you give good love to me, Baby  So good, take this of heart mine into your hands  You give good love to me    (You give good love to me)  Never too much    (Never too much, will never be)  Baby you give good love     (Haa)  Never stoppin I was always searchin  For that perfect love  The kind that girls like me dream of   Now youre here like youve been before  And you know just what I need  It took some time for me to see   You give good love to me, Baby  So good, take this of heart mine into your hands  You give good love to me    (You give good love to me)  Its never too much    (Never too much, will never be)  Baby, you give good love  Uuh   Now I, I cant stop looking around  Its not, what this loves all about  Our love is here to stay, to stay   Baby, you give good love    (You give good love to me)  You give    (Never too much, will never be)  So good, take this of heart mine into your hands   You give good love to me    (You give good love to me)  Never, never too much    (Never too much, will never be )   No no no no no  You give good love to me    (You give good love to me)  So good, so good    (You give good love, baby)  Wuh, huh    (You give good love, darling)  You give    (You give, you give, give it)  You give    (You give good love, honey)   Wuh, huh    (You give good love, baby)  Wuh, huh    (You give good love, darling)  Wuh, huh    (You give, you give, give it)  Baby you give    (You give good love, darling)   Aah, haa    (You give good love, baby)  You give, good love, good love, good love    (You give good love, darling)  Yea, you know whenever I need it    (You give, you give, give it)   You gave good love, baby  Never too much, will never be    (You give good love, honey)  You give    (You give good love, baby)  You give    (You give good love, darling)  You give    (You give, you give, give it)",1985
FLEETWOOD MAC - BIG LOVE LYRICS,"Lookin out for love In the night so still Oh Ill build you a kingdom In that house on the hill  Lookin out for love, ah, ah ho Big, big love, ahh ho  You said that you love me And that you always will Oh you begged me to keep you In that house on the hill  Lookin out for love, ah, ah ho Big, big love, ahh ho  Woo, woo Woo Yeah, yeah  I wake up alone With it all I wake up But only to fall  Lookin out for love, ah ho Big, big love, ahh ho  Lookin out for love, ah, ah ho Big, big love, ahh ho  Huu ha Huu ha Huu ha Huu haee Huu haee Huu haee Huu haee Huu haee Huu haee  Yeah Woo, woo, woo Woo, woo, woo  {Thank you all You guys are great Thanks}",1987
STEELY DAN - HEY NINETEEN LYRICS,"Way back when, in sixty-seven I was the dandy of gamma chi Sweet things from Boston So young and willing Moved down to Scarsdale Where the hell am I  Hey nineteen No we cant dance together We cant dance together No we cant talk at all Please take me along When you slide on down  Hey nineteen Thats Retha Franklin She dont remember the Queen of Soul Its hard times befallen the sole survivors She thinks Im crazy But Im just growin old  Hey nineteen No we got nothin in common We cant dance together No we cant talk at all Please take me along When you slide on down  Sure looks good Skate a little, flow a little  The cuervo gold The fine Columbian Make tonight a wonderful thing Say it again The cuervo gold The fine Columbian Make tonight a wonderful thing The cuervo gold The fine Columbian Make tonight a wonderful thing  No we cant dance together No we cant talk at all",1981
RUN D.M.C. - WALK THIS WAY LYRICS,"Backstroke lover always hidin neath the covers Till I talked to your daddy, he say He said you aint seen nothin till youre down on a muffin Then youre sure to be a-changin your ways I met a cheerleader, was a real young bleeder Oh, the times I could reminisce Cause the best things of lovin with her sister and her cousin Only started with a little kiss Like this  Seesaw swingin with the boys in the school And your feet flyin up in the air Singin hey diddle diddle With your kitty in the middle of the swing Like you didnt care So I took a big chance at the high school dance With a missy who was ready to play Wasnt me she was foolin Cause she knew what she was doin And I knowed love was here to stay When she told me to  Walk this way, walk this way Walk this way, walk this way Walk this way, walk this way Walk this way, walk this way Just gimme a kiss Like this  Schoolgirl sweetie with a classy kinda sassy Little skirts climbin way up the knee There was three young ladies in the school gym locker When I noticed they was lookin at me I was a high school loser, never made it with a lady Till the boys told me somethin I missed Then my next door neighbor with a daughter had a favor So I gave her just a little kiss Like this  Seesaw swingin with the boys in the school And your feet flyin up in the air Singin hey diddle diddle With your kitty in the middle of the swing Like you didnt care So I took a big chance at the high school dance With a missy who was ready to play Wasnt me she was foolin Cause she knew what she was doin When she told me how to walk this way, she told me to  Walk this way, talk this way Walk this way, walk this way Walk this way, walk this way Walk this way, talk this way Just gimme a kiss Like this",1986
GINO VANNELLI - LIVING INSIDE MYSELF LYRICS,"In my life  Ive felt so self assured  But suddenly its all changed  Shes a cloud  That hangs above my world  And I find myself wondring in the rain  And now I cant go on   cause I am lost  Living inside myself  Living inside this shell  Living outside your love  I am lost  Somewhere inside my own dreams  Afraid of what life really means  Living without your love   I need a guiding light  To shine on my darkest days  I was young, and time was on my side  But like a fool I let it slip away  And now those days are gone   And I am lost  Living inside myself  Living inside this shell  Living outside your love  I am lost  Somewhere inside my own dreams  Afraid of what life really means  Living without your love   In my life  Ive felt so self-assured  But oh how all the seasons change  And now Im not that strong   cause I am lost  Living inside myself  Living inside this hell  Living outside your love  I am lost  Somewhere inside my own dreams  Afraid of what life really means  Living without your love   I am lost  Living inside myself  Living inside this shell  Living outside your love  I am lost",1981
STRAY CATS - STRAY CAT STRUT LYRICS,"Ooh, ooh, ooh, ooh Black and orange stray cat sittin on a fence Aint got enough dough to pay the rent Im flat, broke but I dont care I strut right by with my tail in the air  Stray cat strut, Im a ladies cat Im a feline casanova, hey man, thats that Get a shoe thrown at me from a mean old man Gettin my dinner from a garbage can  Yeah, dont cross my path  I dont bother chasin mice around, well, no I slink down the alley lookin for a fight Howlin to the moonlight on a hot summer night Singin the blues while the lady cats cry Wild stray cat, youre a real gone guy I wish I could be as carefree and wild But I got cat class and I got cat style  I dont bother chasin mice around I slink down the alley lookin for a fight Howlin to the moonlight on a hot summer night Singin the blues while the lady cats cry Wild stray cat, youre a real gone guy I wish I could be as carefree and wild But I got cat class and I got cat style",1983
BOB SEGER & THE SILVER BULLET BAND - AGAINST THE WIND LYRICS,Seems like yesterday But it was long ago Janey was lovely she was the queen of my nights There in the darkness with the radio playing low and the secrets that we shared Mountains that we moved Caught like a wildfire out of control Til there was nothing left to burn and nothing left to prove And I remember what she said to me How she swore that it never would end I remember how she held me oh so tight Wish I didnt know now what I didnt know then Against the wind  We were runnin against the wind We were young and strong we were runnin Against the wind  The years rolled slowly past  And I found myself alone Surrounded by strangers I thought were my friends Found myself further and further from my home and I guess I lost my way There were oh so many roads I was living to run and running to live Never worried about paying or even how much I owed Moving eight miles a minute for months at a time Breaking all of the rules that would bend I began to find myself searching Searching for shelter again and again  Against the wind Little something against the wind  I found myself seeking shelter Against the wind Well those drifters days are past me now  Ive got so much more to think about Deadlines and commitments What to leave in what to leave out Against the wind  Im still runnin against the wind Im older now but still runnin against the wind  Well Im older now and still runnin Against the wind Against the wind Against the wind Still runnin  (against the wind) Im still runnin against the wind (against the wind) Im still runnin (against the wind) Im still runnin against the wind (against the wind) Still runnin (against the wind) Runnin against the wind runnin against the wind (against the wind) See the young man run (against the wind) Watch the young man run (against the wind) Watch the young man runnin (against the wind) Hell be runnin against the wind (against the wind) Let the cowboys ride (against the wind) A-a-a-a-h... (against the wind) Let the cowboys ride (against the wind) Theyll be ridin against the wind (against the wind) Against the wind ... (against the wind) Ridin against the wind (against the wind) (against the wind) Ride-ride-ride-ride-ride,1980
JUICE NEWTON - QUEEN OF HEARTS LYRICS,Midnight And Im a-waiting on the 12:05 Hoping itll take me Just a little farther down the line  And moonlight Youre just a heartache in disguise Wont you keep my heart from breaking If its only for a very short time  Playing with the queen of hearts Knowing it aint really smart The joker aint the only fool Wholl do anything for you  Laying out another lie Thinking bout a life of crime Thats what Ill have to do To keep me away from you  Honey You know it makes you mad Why is everybody telling everybody What you have done  Baby I know it makes you sad But when theyre handing out the heartaches You know you got to have you some  Playing with the queen of hearts Knowing it aint really smart The joker aint the only fool Wholl do anything for you  Laying out another lie Thinking bout a life of crime Thats what Ill have to do To keep me away from you  Lovers I know youve had a few But hide your heart beneath the covers And tell em theyre the only one  And others They know just what Im going through And its a-hard to be a lover When you say youre only in it for fun  Playing with the queen of hearts Knowing it aint really smart The joker aint the only fool Wholl do anything for you  Playing with the queen of hearts And knowing it aint really smart The joker aint the only fool Wholl do anything for you  And laying out another lie And thinking bout a life of crime If thats what Ill have to do To keep me away from you  Playing with the queen of hearts Playing with the queen of hearts Playing with the queen of hearts Playing with the queen of hearts,1981
READY FOR THE WORLD - LOVE YOU DOWN LYRICS,"It never really mattered to much to me You were just too damned old for me All that really mattered was you were my girlfriend And baby, thats all that mattered to me  Let me love you down Even if it takes all night Let me love you down You know its got to be so right  Remember when I drove you home from work I love the way when you kissed me bye All of your friends think Im just too young for you You tell em I can what guys their age can do, oh babe  Let me love you down Even if it takes all night Let me love you down You know its got to be so right  Let me love you down Even if it takes all night Let me love you down You know its got to be so right  It never really mattered to much to me You were just too damned old for me All that really mattered was you were my girlfriend And baby, thats all that mattered to me, oh baby  Let me love you down Let me love you down You know its got to be so right Let me love you down Let me love you down You know its got to be so right, I can love you down  Let me love you Let me love you Let me love you down I know, I know I could  Let me love you down I know its gonna take all night Let me love you down No no no no  Let me love you down Let me love, come on Take the house and the car I love like you are  Love you down, down, down, baby Love you down, down, down I know, I know I could, yeah Let me love you down  Its just me and you the whole night through Let me love you, baby I know, I know I could Love you down, down  Let me love you I know I could, baby Youre so sweet to me Let me love you down, ooh, baby  Its just you and me, baby The whole night through Wont you let me love down? I cant take this too much longer, you know",1987
PRINCE - SIGN O' THE TIMES LYRICS,"Oh, yeah  In France, a skinny man Died of a big disease with a little name By chance, his girlfriend came across a needle And soon she did the same  At home, there are seventeen year old boys And their idea of fun Is being in a gang called The Disciples High on crack, totin a machine gun  Time, times  Hurricane Annie ripped the ceiling of a church And killed everyone inside You turn on the telly and every other story Is tellin you somebody died  Sister killed her baby cuz she couldnt afford to feed it And were sending people to the moon In September, my cousin tried reefer for the very first time Now hes doing horse, its June  Times, times  Its silly, no, when a rocket ship explodes And everybody still wants to fly Some say, a man aint happy Unless a man truly dies, oh, why?  Time, time  Baby make a speech, Star Wars fly Neighbors just shine it on But if a night falls and a bomb falls Will anybody see the dawn?  Time, times  Its silly, no, when a rocket blows And everybody still wants to fly Some say, a man aint happy, truly Until a man truly dies Oh why, oh why, sign o the times  Time, time  Sign o the times, mess with your mind Hurry before its too late Lets fall in love, get married, have a baby Well call him Nate, if its a boy  Time, time",1987
PAUL YOUNG - EVERYTIME YOU GO AWAY LYRICS,"Hey, if we can solve any problem, then why do we lose so many tears Oh and so you go again, when the leading man appears Always the same thing, cant you see Weve got everything goin on and on and on  Everytime you go away You take a piece of me with you Everytime you go away You take a piece of me with you  Go on and go free, yeah, maybe youre too close to see I can feel your body move, it doesnt mean that much to me I cant go on sayin the same thing, just cant you see Weve got everything, baby even know, you know  Everytime you go away, yeah You take a piece of me with you, oh Everytime you go away You take a piece of me with you  I cant go on sayin the same thing Cause baby, cant you see Weve got everything goin on and on and on  Everytime you go away You take a piece of me with you Everytime you go away You take a piece of me with you  Everytime you go away You take a piece of me with you Everytime you go away You take a piece of me with you  Everytime you go away You take a piece of me with you",1985
CYNDI LAUPER - CHANGE OF HEART LYRICS,"Here I am just like I said I would be Im your friend just like you think it should be Did you think I would stand here and lie While our moment was passing us by? Oh I am here  Waiting for your change of heart It just takes a beat to turn it around Yes, Im waiting for your change of heart At the edge of my seat, please turn it around  Days go by leaving me with a hunger I could fly back to when we were younger When adventures like cars we would ride And the years lied ahead still untried While I stand here  Waiting for your change of heart It just takes a beat to turn it around Yes, Im waiting for your change of heart At the edge of my seat, please turn it around  Blind leading blind, never feel the laughter Search through time, nothing reveals the answer If its truth that youre looking to find It is nowhere outside of your mind I bide my time  Waiting for your change of heart It just takes a beat to turn it around Yes, Im waiting for your change of heart At the edge of my seat, please turn it around  Yes, Im waiting for your change of heart It just takes a beat to turn it around Yes, Im waiting for your change of heart At the edge of my seat, please turn it around  And Im waiting for your change of heart Waiting for your change of heart",1987
